Код услуги ;Наименование заголовка/услуги;  Цена услуги  Н.Новгород 
801004.3;Оформление заключительного Акта о годности работников организации к выполнению работ во вредных и/или опасных условиях труда по результатам периодического медицинского осмотра (обследования), без учета стоимости обследования (для коллектива от 101 до 300 человек);70
801004.4;Оформление заключительного Акта о годности работников организации к выполнению работ во вредных и/или опасных условиях труда по результатам периодического медицинского осмотра (обследования), без учета стоимости обследования (для коллектива от 301 до 500 человек);60
801004.5;Оформление заключительного Акта о годности работников организации к выполнению работ во вредных и/или опасных условиях труда по результатам периодического медицинского осмотра (обследования), без учета стоимости обследования (для коллектива свыше 500 человек);50
801005.1;Оформление медицинского заключения о пригодности или непригодности к выполнению отдельных видов работ по результатам предварительного/периодического медицинского осмотра (обследования), без учета стоимости обследования (для коллектива от 1 до 50 человек);90
801005.2;Оформление медицинского заключения о пригодности или непригодности к выполнению отдельных видов работ по результатам предварительного/периодического медицинского осмотра (обследования), без учета стоимости обследования (для коллектива от 51 до 100 человек);80
801005.3;Оформление медицинского заключения о пригодности или непригодности к выполнению отдельных видов работ по результатам предварительного/периодического медицинского осмотра (обследования), без учета стоимости обследования (для коллектива от 101 до 300 человек);70
801005.4;Оформление медицинского заключения о пригодности или непригодности к выполнению отдельных видов работ по результатам предварительного/периодического медицинского осмотра (обследования), без учета стоимости обследования (для коллектива от 301 до 500 человек);60
801005.5;Оформление медицинского заключения о пригодности или непригодности к выполнению отдельных видов работ по результатам предварительного/периодического медицинского осмотра (обследования), без учета стоимости обследования (для коллектива свыше 500 человек);50
802000.1;Диспансерный прием врача-терапевта при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 1 до 50 человек);135
802000.2;Диспансерный прием врача-терапевта при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 51 до 100 человек);120
802000.3;Диспансерный прием врача-терапевта при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 101 до 300 человек);105
802000.4;Диспансерный прием врача-терапевта при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 301 до 500 человек);90
802000.5;Диспансерный прием врача-терапевта при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива свыше 500 человек);75
803000.1;Диспансерный прием врач-офтальмолога (включая офтальмоскопию, визометрию, биомикроскопию, исследование цветоощущения) при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 1 до 50 человек);135
803000.2;Диспансерный прием врач-офтальмолога (включая офтальмоскопию, визометрию, биомикроскопию, исследование цветоощущения) при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 51 до 100 человек);120
803000.3;Диспансерный прием врач-офтальмолога (включая офтальмоскопию, визометрию, биомикроскопию, исследование цветоощущения) при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 101 до 300 человек);105
803000.4;Диспансерный прием врач-офтальмолога (включая офтальмоскопию, визометрию, биомикроскопию, исследование цветоощущения) при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 301 до 500 человек);90
803000.5;Диспансерный прием врач-офтальмолога (включая офтальмоскопию, визометрию, биомикроскопию, исследование цветоощущения) при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива свыше 500 человек);75
803001.1;Определение объема аккомодации при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 1 до 50 человек);5
803001.2;Определение объема аккомодации при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 51 до 100 человек);5
803001.3;Определение объема аккомодации при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 101 до 300 человек);5
803001.4;Определение объема аккомодации при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 301 до 500 человек);5
803001.5;Определение объема аккомодации при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива свыше 500 человек);5
803002.1;Офтальмопневмотонометрия при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 1 до 50 человек);5
803002.2;Офтальмопневмотонометрия при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 51 до 100 человек);5
803002.3;Офтальмопневмотонометрия при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 101 до 300 человек);5
803002.4;Офтальмопневмотонометрия при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 301 до 500 человек);5
803002.5;Офтальмопневмотонометрия при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива свыше 500 человек);5
803003.1;Рефрактометрия при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 1 до 50 человек);5
803003.2;Рефрактометрия при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 51 до 100 человек);5
803003.3;Рефрактометрия при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 101 до 300 человек);5
803003.4;Рефрактометрия при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 301 до 500 человек);5
803003.5;Рефрактометрия при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива свыше 500 человек);5
803004.1;Исследование бинокулярного зрения при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 1 до 50 человек);5
803004.2;Исследование бинокулярного зрения при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 51 до 100 человек);5
803004.3;Исследование бинокулярного зрения при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 101 до 300 человек);5
803004.4;Исследование бинокулярного зрения при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 301 до 500 человек);5
803004.5;Исследование бинокулярного зрения при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива свыше 500 человек);5
803005.1;Периметрия ахроматическая при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 1 до 50 человек);5
803005.2;Периметрия ахроматическая при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 51 до 100 человек);5
803005.3;Периметрия ахроматическая при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 101 до 300 человек);5
803005.4;Периметрия ахроматическая при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 301 до 500 человек);5
803005.5;Периметрия ахроматическая при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива свыше 500 человек);5
803006.1;Скиаскопия при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 1 до 50 человек);5
803006.2;Скиаскопия при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 51 до 100 человек);5
803006.3;Скиаскопия при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 101 до 300 человек);5
803006.4;Скиаскопия при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 301 до 500 человек);5
803006.5;Скиаскопия при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива свыше 500 человек);5
804000.1;Диспансерный прием врача-невролога при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 1 до 50 человек);135
804000.2;Диспансерный прием врача-невролога при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 51 до 100 человек);120
804000.3;Диспансерный прием врача-невролога при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 101 до 300 человек);105
804000.4;Диспансерный прием врача-невролога при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 301 до 500 человек);90
804000.5;Диспансерный прием врача-невролога при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива свыше 500 человек);75
804001.1;Динамометрия кистей рук при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 1 до 50 человек);5
804001.2;Динамометрия кистей рук при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 51 до 100 человек);5
804001.3;Динамометрия кистей рук при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 101 до 300 человек);5
804001.4;Динамометрия кистей рук при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 301 до 500 человек);5
804001.5;Динамометрия кистей рук при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива свыше 500 человек);5
804002.1;Паллестезиометрия (аппаратное определение вибрационной чувствительности) при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 1 до 50 человек);5
804002.2;Паллестезиометрия (аппаратное определение вибрационной чувствительности) при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 51 до 100 человек);5
804002.3;Паллестезиометрия (аппаратное определение вибрационной чувствительности) при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 101 до 300 человек);5
804002.4;Паллестезиометрия (аппаратное определение вибрационной чувствительности) при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 301 до 500 человек);5
804002.5;Паллестезиометрия (аппаратное определение вибрационной чувствительности) при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива свыше 500 человек);5
805000.1;Диспансерный прием врача-оториноларинголога (включая исследование слуха камертонами, речевую аудиометрию) при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 1 до 50 человек);135
805000.2;Диспансерный прием врача-оториноларинголога (включая исследование слуха камертонами, речевую аудиометрию) при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 51 до 100 человек);120
805000.3;Диспансерный прием врача-оториноларинголога (включая исследование слуха камертонами, речевую аудиометрию) при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 101 до 300 человек);105
805000.4;Диспансерный прием врача-оториноларинголога (включая исследование слуха камертонами, речевую аудиометрию) при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 301 до 500 человек);90
805000.5;Диспансерный прием врача-оториноларинголога (включая исследование слуха камертонами, речевую аудиометрию) при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива свыше 500 человек);75
805001.1;Тональная пороговая аудиометрия с тестом Вебера при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 1 до 50 человек);5
805001.2;Тональная пороговая аудиометрия с тестом Вебера при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 51 до 100 человек);5
805001.3;Тональная пороговая аудиометрия с тестом Вебера при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 101 до 300 человек);5
805001.4;Тональная пороговая аудиометрия с тестом Вебера при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 301 до 500 человек);5
805001.5;Тональная пороговая аудиометрия с тестом Вебера при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива свыше 500 человек);5
805002.1;Исследование спонтанных вестибулярных реакций при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 1 до 50 человек);5
805002.2;Исследование спонтанных вестибулярных реакций при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 51 до 100 человек);5
805002.3;Исследование спонтанных вестибулярных реакций при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 101 до 300 человек);5
805002.4;Исследование спонтанных вестибулярных реакций при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 301 до 500 человек);5
805002.5;Исследование спонтанных вестибулярных реакций при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива свыше 500 человек);5
806000.1;Диспансерный прием врача-дерматовенеролога при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 1 до 50 человек);135
806000.2;Диспансерный прием врача-дерматовенеролога при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 51 до 100 человек);120
806000.3;Диспансерный прием врача-дерматовенеролога при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 101 до 300 человек);105
806000.4;Диспансерный прием врача-дерматовенеролога при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 301 до 500 человек);90
806000.5;Диспансерный прием врача-дерматовенеролога при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива свыше 500 человек);75
807000.1;Диспансерный прием врача-хирурга при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 1 до 50 человек);135
807000.2;Диспансерный прием врача-хирурга при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 51 до 100 человек);120
807000.3;Диспансерный прием врача-хирурга при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 101 до 300 человек);105
807000.4;Диспансерный прием врача-хирурга при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 301 до 500 человек);90
807000.5;Диспансерный прием врача-хирурга при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива свыше 500 человек);75
808000.1;Диспансерный прием врача-стоматолога при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 1 до 50 человек);135
808000.2;Диспансерный прием врача-стоматолога при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 51 до 100 человек);120
808000.3;Диспансерный прием врача-стоматолога при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 101 до 300 человек);105
808000.4;Диспансерный прием врача-стоматолога при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 301 до 500 человек);90
808000.5;Диспансерный прием врача-стоматолога при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива свыше 500 человек);75
809000.1;Диспансерный прием врача акушера-гинеколога при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 1 до 50 человек);180
809000.2;Диспансерный прием врача акушера-гинеколога при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 51 до 100 человек);160
809000.3;Диспансерный прием врача акушера-гинеколога при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 101 до 300 человек);140
809000.4;Диспансерный прием врача акушера-гинеколога при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 301 до 500 человек);120
809000.5;Диспансерный прием врача акушера-гинеколога при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива свыше 500 человек);100
810000.1;Диспансерный прием врача-психиатра при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 1 до 50 человек);180
810000.2;Диспансерный прием врача-психиатра при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 51 до 100 человек);160
810000.3;Диспансерный прием врача-психиатра при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 101 до 300 человек);140
810000.4;Диспансерный прием врача-психиатра при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 301 до 500 человек);120
810000.5;Диспансерный прием врача-психиатра при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива свыше 500 человек);100
811000.1;Диспансерный прием врача психиатра-нарколога при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 1 до 50 человек);180
811000.2;Диспансерный прием врача психиатра-нарколога при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 51 до 100 человек);160
811000.3;Диспансерный прием врача психиатра-нарколога при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 101 до 300 человек);140
811000.4;Диспансерный прием врача психиатра-нарколога при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 301 до 500 человек);120
811000.5;Диспансерный прием врача психиатра-нарколога при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива свыше 500 человек);100
812000.1;Диспансерный прием врача-уролога при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 1 до 50 человек);180
812000.2;Диспансерный прием врача-уролога при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 51 до 100 человек);160
812000.3;Диспансерный прием врача-уролога при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 101 до 300 человек);140
812000.4;Диспансерный прием врача-уролога при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 301 до 500 человек);120
812000.5;Диспансерный прием врача-уролога при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива свыше 500 человек);100
813000.1;Диспансерный прием врача-гастроэнтеролога при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 1 до 50 человек);135
813000.2;Диспансерный прием врача-гастроэнтеролога при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 51 до 100 человек);120
813000.3;Диспансерный прием врача-гастроэнтеролога при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 101 до 300 человек);105
813000.4;Диспансерный прием врача-гастроэнтеролога при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 301 до 500 человек);90
813000.5;Диспансерный прием врача-гастроэнтеролога при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива свыше 500 человек);75
814000.1;Диспансерный прием врача-эндокринолога при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 1 до 50 человек);135
814000.2;Диспансерный прием врача-эндокринолога при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 51 до 100 человек);120
814000.3;Диспансерный прием врача-эндокринолога при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 101 до 300 человек);105
814000.4;Диспансерный прием врача-эндокринолога при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 301 до 500 человек);90
814000.5;Диспансерный прием врача-эндокринолога при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива свыше 500 человек);75
816000.1;Диспансерный прием врача-онколога при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 1 до 50 человек);135
816000.2;Диспансерный прием врача-онколога при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 51 до 100 человек);120
816000.3;Диспансерный прием врача-онколога при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 101 до 300 человек);105
816000.4;Диспансерный прием врача-онколога при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 301 до 500 человек);90
816000.5;Диспансерный прием врача-онколога при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива свыше 500 человек);75
817000.1;Диспансерный прием врача аллерголога-иммунолога при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 1 до 50 человек);135
817000.2;Диспансерный прием врача аллерголога-иммунолога при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 51 до 100 человек);120
817000.3;Диспансерный прием врача аллерголога-иммунолога при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 101 до 300 человек);105
817000.4;Диспансерный прием врача аллерголога-иммунолога при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 301 до 500 человек);90
817000.5;Диспансерный прием врача аллерголога-иммунолога при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива свыше 500 человек);75
818000.1;Диспансерный прием врача травматолога-ортопеда при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 1 до 50 человек);135
818000.2;Диспансерный прием врача травматолога-ортопеда при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 51 до 100 человек);120
818000.3;Диспансерный прием врача травматолога-ортопеда при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 101 до 300 человек);105
818000.4;Диспансерный прием врача травматолога-ортопеда при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 301 до 500 человек);90
818000.5;Диспансерный прием врача травматолога-ортопеда при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива свыше 500 человек);75
850000.1;ПРО О. Госпитальный комплекс: ВИЧ, Сифилис, Гепатит В, Гепатит С при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 1 до 50 человек);540
850000.2;ПРО О. Госпитальный комплекс: ВИЧ, Сифилис, Гепатит В, Гепатит С при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 51 до 100 человек);480
850000.3;ПРО О. Госпитальный комплекс: ВИЧ, Сифилис, Гепатит В, Гепатит С при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 101 до 300 человек);420
850000.4;ПРО О. Госпитальный комплекс: ВИЧ, Сифилис, Гепатит В, Гепатит С при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 301 до 500 человек);360
850000.5;ПРО О. Госпитальный комплекс: ВИЧ, Сифилис, Гепатит В, Гепатит С при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива свыше 500 человек);300
851000.1;Общий анализ крови (Гемоглобин, Эритроциты, Тромбоциты,  Лейкоциты, Лейкоцитарная формула, СОЭ) при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 1 до 50 человек);150
851000.2;Общий анализ крови (Гемоглобин, Эритроциты, Тромбоциты,  Лейкоциты, Лейкоцитарная формула, СОЭ) при обязательном предварительном/периодическом медицинском осмотре (обследовании) (для коллектива от 51 до 100 человек);135
